A group of people having a barbecue at a park.	having barbecue group park people.
A man in sunglasses puts his arm around a woman in a black and white blouse.	his arm puts white around black woman sunglasses blouse man.
A man with a balloon hat and people eating outdoors at picnic tables.	man eating balloon picnic hat outdoors tables people.
A boy jump kicking over three kids kicking wood during a tae kwon do competition.	during tae boy do over competition three kicking wood jump kids kwon kicking.
A boy in a red jacket pouring water on a man in a white shirt	man jacket white water shirt red pouring boy.
A man with a red jacket is shielding himself from the sun trying to read a piece of paper.	from man trying to red paper sun read himself jacket piece shielding.
Men walking down a street with children.	men walking down children street.
A little boy is standing on the street while a man in overalls is working on a stone wall.	street standing boy stone overalls wall little while man working.
A black dog leaps over a log.	leaps black log dog over.
A man in a suit is running past two other gentleman, also dressed in a suit.	two also other suit running man dressed gentleman, past suit.
Man in a red shirt riding his bicycle around water.	bicycle shirt man red around water riding his.
A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup.	hotdogs small wearing grilling blue grill shorts propane while green holding barefooted olive man cup plastic.
A dog is running in the snow	dog running snow.
A crowd is standing and waiting for the green light.	waiting light crowd standing green.
Man on skis looking at artwork for sale in the snow	artwork snow looking skis man sale.
Seven climbers are ascending a rock face whilst another man stands holding the rope.	rope whilst another face ascending rock seven man stands holding climbers.
The young gymnast's supple body soars above the balance beam.	soars body young beam supple above gymnast's balance.
A young boy is pushing a toy ATV around a rubber pool	pool atv around rubber boy toy young pushing.
Woman in red windbreaker looking though a rooftop binoculars at the city below.	rooftop looking city woman below red binoculars though windbreaker.
A man is standing in front of a small red object that looks like a plane.	that red standing small man looks front plane object like.
A dog is playing with a hose.	hose dog playing.
A man and a little girl happily posing in front of their cart in a supermarket.	posing their happily girl cart supermarket little man front.
A white dog is about to catch a yellow dog toy.	dog yellow dog toy white catch about to.
Guy in green shirt with hand covering part of his face in restaurant booth.	face his restaurant part hand booth shirt green covering guy.
A black and white dog jumps up towards a yellow toy.	towards toy up yellow jumps dog white black.
Two hikers resting by a patch of snow.	two by hikers snow resting patch.
A man showing off his new wooden creation.	his off showing new wooden man creation.
A elderly father and his grown son are preparing for a camping trip in the wild.	grown wild camping elderly preparing trip his son father.
A bearded traveler in a red shirt sitting in a car and reading a map.	shirt traveler bearded map reading red car sitting.
A young boy waves his hand at the duck in the water surrounded by a green park.	duck surrounded park hand waves his young boy by water green.
A couple sit on the grass with a baby and stroller.	sit grass baby stroller couple.
Some men standing in front of a building next to a parked car.	building car some parked front next to men standing.
The black dog runs through the water.	through black water dog runs.
A man is drilling through the frozen ice of a pond.	through frozen ice man pond drilling.
Two large tan dogs play along a sandy beach.	large beach along two play dogs sandy tan.
A person in blue and red ice climbing with two picks.	climbing two blue picks red person ice.
Three people walking on a path in a meadow.	three path meadow people walking.
A man in black attire shovels snow into the street, disregarding all public safety.	disregarding man shovels black all snow public street, attire safety into.
A couple stands behind their wedding cake.	stands wedding couple their cake behind.
A wet black dog is carrying a green toy through the grass.	through carrying dog toy green black grass wet.
Villagers selling their crops at the market.	villagers selling crops market their.
In a crowded concert a man in white is approaching the main singer who is wearing a yellow shirt.	main concert crowded approaching in yellow who wearing man singer white shirt.
A boy jumps on his skateboard while a crowd watches	boy crowd while watches skateboard his jumps.
A man and a baby are in a yellow kayak on water.	yellow kayak water baby man.
Two people are sitting on a bench, and one women is standing by them.	standing them one by people bench, women two sitting.
A construction site on a street with three men working.	three street site working construction men.
Two men sitting on a bench talking, with a billboard advertisement for glasses in the background.	bench advertisement men billboard glasses two background talking, sitting.
A group of youths march down the street waving flags showing the color spectrum.	youths waving color street down flags spectrum march group showing.
Three old men are watching another man prepare fish.	watching man another fish men old three prepare.
A woman in a white tank top with a green flowing skirt, on stage singing a song.	white skirt, song flowing woman tank top green stage singing.
Two men and two women sitting on steps outdoors.	steps women two men two outdoors sitting.
A brown and black lab are outside and the black lab is catching a toy in its mouth.	mouth its black brown lab black catching lab toy outside.
Hockey goalie boy in red jacket crouches by goal, with stick.	by boy hockey stick goal, goalie jacket red crouches.
The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading.	buildings reading sculpture courtyard front art backpack man sitting.
Toddler boy in a red hat holding on to some railings.	holding to railings some hat red boy toddler.
Three dogs stand in a grassy field while a person kneels nearby.	nearby grassy kneels dogs field stand person three while.
A man is standing in front of a skyscraper	standing skyscraper front man.
A woman is walking her baby with a stroller at the local park.	her baby walking woman stroller park local.
A man in a red shirt is sitting by fruit for sale.	sitting shirt fruit red man sale by.
A young blond-haired boy and a dark-haired girl are eating at a kid's table.	eating kid's young girl dark-haired table boy blond-haired.
The boy eats his food outside at the table.	boy his food eats outside table.
A man wearing black is playing an electric guitar at a concert.	concert black playing electric wearing guitar man.
A girl playing softball hits the ball almost directly downwards	playing softball almost directly ball downwards hits girl.
A man in a black shirt plays a black-colored guitar.	shirt man black-colored black plays guitar.
A man wearing a black shirt smoothing out concrete in an urban area.	black urban shirt smoothing man out concrete area wearing.
A woman in a white shirt is sitting at a table in a nice restaurant.	shirt table restaurant sitting woman nice white.
A woman is laying on a red blanket in a park.	park woman blanket red laying.
A solitary man stand on a bridge in the evening.	evening solitary bridge man stand.
A child walks in a grassy field.	walks field grassy child.
A man and his dog are grilling green beans on a grill.	green dog grill man grilling his beans.
Three people rest on a ledge above the moutains.	above rest moutains people three ledge.
Many people cross a very tall footbridge with a tree-covered hill in the background.	tall very people background many cross tree-covered footbridge hill.
A young boy overlooking a crowd of inflatable boats.	overlooking crowd young boats boy inflatable.
Two little girls and an old man have a conversation.	conversation have little girls old man two.
Asian man and blond woman holding hands outdoors, man in background watches.	holding hands outdoors, asian man blond watches man woman background.
An older man with gray hair is sitting in a chair playing a large instrument made of bamboo.	gray bamboo chair hair made older sitting man large playing instrument.
A man in a white shirt rides a bicycle on a busy street.	shirt man bicycle busy rides street white.
A man is standing on a ladder painting bricks	ladder bricks painting man standing.
A 30 somethings man playing with his phone on a subway train.	playing subway phone man 30 his train somethings.
Two women are walking in a crosswalk with a bus in the background.	crosswalk two bus women walking background.
A group of people are eating noddles.	eating group noddles people.
A woman is carrying a bowl full of fruit on her head near the ocean side.	full near ocean side head woman her bowl fruit carrying.
A guy wearing blue in a hole.	hole blue wearing guy.
Four children are smiling as they pose together with a bicycle that is much too big for them.	that smiling them big they as four pose together bicycle children too much.
Two individuals, a male and a female, standing in a forested area around a tub.	two around female, standing individuals, tub male area forested.
A sleeping baby is in someone's arms and wearing a pink striped outfit	wearing striped outfit someone's sleeping pink baby arms.
A member of an African tribe is watching the camera intently in tribal dress.	watching camera tribal intently dress tribe member african.
A samurai warrior in full black dress takes his sword from the sheath on an outdoor training mat.	takes sheath mat outdoor full dress black sword training warrior samurai his from.
Several young people sitting on a rail above a crowded beach.	sitting several young rail people above crowded beach.
Five hikers, one facing towards the camera and the others facing away from it, are walking through a rocky riverbed.	five others towards camera hikers, from riverbed facing through away rocky walking one facing it,.
A security guard stands by a metal, lighted sculpture.	security by sculpture metal, stands lighted guard.
Two women, one in green and the other in purple, washing a sidewalk.	sidewalk one women, washing other purple, green two.
Two girls crouch in front of some bushes and talk on their phones.	bushes front girls crouch phones two their talk some.
A young girl wearing a multicolored holding an orange ball in her right hand walking through bright green grass behind a house	grass girl green house her walking multicolored right wearing ball orange holding hand behind through young bright.
A young child playing with a toy while laying on the floor.	floor laying child while young playing toy.
A little boy skateboarder is doing a trick on his board while another young skateboarder watches.	while his little boy skateboarder watches doing young skateboarder trick board another.
Two kids are laughing in the grass.	two kids grass laughing.
Young woman holding a bottle, reaching out from a bench to shake a man's hand.	young bottle, man's reaching woman from hand bench out to holding shake.
A driver communicating on his walkie talkie.	walkie driver talkie communicating his.
A girl paddling down a large river, as seen from behind her.	river, her paddling down seen behind as girl from large.
A girl with pigtails plays in the water.	plays pigtails girl water.
A couple wearing white sweaters sit at a restaurant table.	table sit wearing couple sweaters restaurant white.
A meal is on a table in a restaurant.	table restaurant meal.
Two construction workers take a seat on a steel beam.	workers beam construction two seat steel take.
A child happily mixing batter in a bowl.	child happily mixing batter bowl.
Two children play with a balloon in mud on a sunny day.	sunny children two balloon mud play day.
A little girl looking at a brochure on train rides	looking girl little train rides brochure.
Two women are sitting and talking and laughing together.	laughing sitting two talking women together.
People jogging together on a park sidewalk.	sidewalk park people jogging together.
A little kid is jumping off a high dive at the pool.	dive high off kid jumping pool little.
A light-colored dog runs on the beach.	runs beach dog light-colored.
A man lounges in a wooden basin of water while eating a fruit.	water while lounges fruit man basin eating wooden.
A man is sleeping on a bench near a bus stop.	bench near bus stop man sleeping.
A little girl in a red shirt and jeans climbs a small tree while another little girl looks on.	girl jeans red small climbs girl tree on another little while shirt looks little.
A man asleep in a car that's driving.	driving asleep car that's man.
A woman in a red shirt is under a blanket and sleeping in a vehicle.	shirt woman under sleeping vehicle red blanket.
A man in a home kitchen is flipping a pancake extremely high.	pancake man flipping high extremely kitchen home.
Several firefighters are responding to an alarm.	several to firefighters alarm responding.
Several firefighters stand outside of a building near their firetrucks.	stand building near their outside firetrucks firefighters several.
A beach with blue and red boats, with people on shore	blue shore beach people red boats,.
Men wearing hard hats and safety vests are working.	wearing men safety working hats vests hard.
A magazine vendor sits behind a very colorful collage of magazines.	behind very vendor magazine colorful sits collage magazines.
A man in a hard hat is wearing a blue shirt and blue jean overalls.	blue blue hat hard wearing man jean shirt overalls.
At the bakery, the fat old baker sleeps while his apprentice rubs the flour out of his eyes, seated beside him.	old his seated apprentice beside baker while sleeps eyes, him out at flour fat bakery, his rubs.
A group of shirtless men are sitting in the shade on a tropical beach.	tropical shirtless beach men group shade sitting.
A boy in his blue swim shorts at the beach.	shorts blue beach boy swim his.
A skier is overlooking a snow-covered mountain.	mountain skier snow-covered overlooking.
A boy wearing a red shirt is riding his bike right next to a mound of dirt.	next boy dirt mound riding bike to red wearing shirt right his.
Bikers in a bike race take a sharp left turn.	turn bikers bike left sharp race take.
Three boys playing and biking with a pile of sand in the middle	three middle sand pile biking boys playing.
Elderly man with a cane bends over near a man and woman.	near bends cane woman man man over elderly.
A doctor and nurses in blue scrubs are performing an operation.	scrubs nurses operation doctor blue performing.
A black and white dog jumps after a yellow toy.	white after yellow black jumps dog toy.
A woolly dog chases a Doberman on a beach.	dog chases woolly doberman beach.
A man stand there after rolling a bowling ball down a lane.	there lane stand man ball after bowling down rolling.
An old weathered, bearded man wearing all black, riding a beautiful white donkey on white rocks.	bearded man white riding old rocks white weathered, black, all wearing beautiful donkey.
A man and woman napping on a blue couch.	woman man blue couch napping.
A man wearing a yellow shirt is throwing a javelin on a track.	man yellow wearing throwing shirt javelin track.
A crowd watching air balloons at night.	night watching air balloons crowd.
A woman is reading a magazine over another woman's shoulder.	reading shoulder another magazine over woman's woman.
Two men squat to light candles at night.	light two candles men squat night to.
A young man is walking through a busy street beside a mall.	through mall walking man busy beside street young.
The little boy rides his bicycle in a race.	his little race bicycle boy rides.
A group of people sitting at a table in a darkened room.	sitting table people room group darkened.
A man with two dogs on a beach	dogs man beach two.
A boy covered in suds has his face wiped clean.	has clean his suds wiped face boy covered.
Dozens of people are partying on a boat.	partying people dozens boat.
A young woman on a boat in a light colored bikini kicks a man wearing a straw cowboy hat.	straw man boat colored bikini cowboy kicks woman hat wearing young light.
A boy sliding down a slide into a pool with colorful tubes.	tubes into sliding boy slide colorful down pool.
A man in a wetsuit is throwing a toddler up in the air and is ready to catch him.	to catch toddler throwing wetsuit air up ready man him.
A group of people riding in the back of a truck, down the road, in a country area.	road, riding down back people group country area truck,.
Two chefs prepare burgers in a restaurant kitchen.	restaurant kitchen burgers two chefs prepare.
Two young boys making silly faces.	two silly young boys faces making.
A person with brown pants is sitting around a fenced area that has sparks flying.	around sparks flying area pants brown fenced sitting person that has.
Woman on a hill by a white cross overlooking a beach.	beach white woman by hill cross overlooking.
Four girls are sitting in the grass while several men stand near them.	them several stand sitting men grass near four while girls.
Men at work shoveling snow from a rail track.	from work snow track shoveling men rail.
A man, and girl and two horses are near a contained fire.	contained girl fire near man, horses two.
Workers wearing reflective vests working near a train car.	working car reflective workers wearing vests near train.
An older guy looking at a classic, rustic, volkswagen beetle.	older looking beetle rustic, classic, volkswagen guy.
A woman assembles a white metal frame on the sidewalk.	white metal woman assembles frame sidewalk.
There are three dogs starring at a ball in the middle of them.	there middle starring three dogs ball them.
A shirtless man and a woman sitting on a dock.	sitting dock woman shirtless man.
Men in safety vests are working on a track.	track men working safety vests.
A man fixing the road with his equipment.	his man road equipment fixing.
A woman with reddish hair applies mascara to her eyelashes.	reddish eyelashes hair woman applies to her mascara.
A white dog has its head on the ground.	ground head white its dog has.
A woman in blue shorts and a white shirt is indoor rock climbing.	shorts indoor blue rock shirt climbing white woman.
Many scooters are parked together on the sidewalk.	many scooters together parked sidewalk.
The regional park police helicopter is preparing to land.	land park to helicopter regional police preparing.
A man in a reflective jacket positions himself on scaffolding.	himself positions reflective scaffolding man jacket.
A group of fourteen is assembled in a hall with dining tables and a stage.	tables hall fourteen assembled group stage dining.
A teenage boy is jumping on an inflatable slide.	inflatable teenage jumping slide boy.
A family playing on a tractor on a beautiful day	beautiful day family playing tractor.
An elderly woman pan frying food in a kitchen.	food pan elderly frying kitchen woman.
Two young people are approached by a flamboyant young woman dressed in a red bikini and a red feathered headress.	flamboyant woman red bikini young headress red by young people feathered two approached dressed.
Two skiers are making their way through woodland.	making two woodland way their through skiers.
Skiiers at the top of a snow covered hill.	skiiers covered snow hill top.
A brown dog running next to grass.	dog to running brown next grass.
A woman in a green shirt and jeans kneels on a stoop with coffee in hand, her purse beside her and a large door behind her, as she fills out paperwork.	stoop jeans out paperwork woman kneels shirt large door beside her her her, hand, as behind purse fills green she coffee.
People are crossing a city street intersection.	crossing city intersection people street.
A woman dressed in light purple and wearing a corsage clasps her hands in her lap.	her woman corsage purple lap wearing clasps dressed her hands light.
A mother and children is fishing on a boardwalk at night.	children mother boardwalk night fishing.
Six males playing a game in the sand with wooden paddles.	sand wooden playing game paddles males six.
A woman in a green tank top is surrounded by three children, laughing.	tank three children, top surrounded by green woman laughing.
A male in a black shirt, and black pants, working on the engine of an old, green antique automobile, with a yellow gas canister sitting on the grass.	pants, gas engine old, male canister sitting working automobile, black green grass black antique shirt, yellow.
A woman in a blue jacket rides a brown pony near water.	near pony jacket rides blue brown woman water.
Two horses pull a carriage driven by a woman over snow covered ground.	two by over pull driven carriage woman covered horses ground snow.
A person climbing down a sheer rock cliff using a rope	rock climbing sheer down using cliff rope person.
The group of hikers is resting in front of a mountain.	mountain hikers group resting front.
A woman standing in front of a chalk drawing	chalk drawing woman front standing.
Three young adults are sitting around, with the girl pretending to kick one of the guys in the face while laughing, and the guy behind him looks like he's in midsentence.	like sitting pretending face one young girl laughing, to midsentence he's kick guys behind three looks guy around, him adults while.
A group of kids in class with their hands in the air.	their kids hands air group class.
A man wearing swimming trunks jumps off a concrete platform into a large body of water.	wearing platform jumps large body water into trunks man off concrete swimming.
Woman meticulously working with a sewing machine.	machine meticulously working sewing woman.
A lady in a white t-shirt is looking toward the person with their arm raised in the air.	white raised lady air person looking toward their arm t-shirt.
A girl working at a farm market selling peppers.	girl market selling working farm peppers.
An elderly women is sitting in a chair with a cane in her hand.	cane sitting her chair hand women elderly.
A boy has blown four bubbles on the lawn.	has four lawn blown boy bubbles.
A little boy playing in the water.	playing water boy little.
Dog running out of tunnel on obstacle course	dog out course running tunnel obstacle.
A yellow dog and a black and white dog are running in the dirt.	dirt dog running yellow dog white black.
Two men barbecuing at a beach.	beach men barbecuing two.
A little girl in a flower print bathing suit, jumping into the ocean.	ocean into girl bathing jumping print flower suit, little.
Little girl in blue swimsuit standing on a handrail near a beach.	little swimsuit handrail standing blue near girl beach.
A young Asian boy sits on a railing behind a row of colorful hats	asian colorful behind hats sits young railing row boy.
A white and black dog is jumping into a pool.	black into white jumping dog pool.
The boys smiles underwater at the pool.	pool smiles underwater boys.
Two people having a discussion sitting in a restaurant.	restaurant having sitting discussion two people.
Several people are taking a break while on a snowmobiling ride.	taking while people several snowmobiling ride break.
Two people working on removing snow from a roof.	roof two from removing snow working people.
A young man wearing a black shirt takes a folding chair from a large stack.	man stack wearing black from chair shirt large takes young folding.
A woman is walking at dusk down an urban street.	street urban woman dusk walking down.
A little girl with brown hair is blowing the petals off of a flower.	girl brown hair flower blowing little petals off.
Three people on ATV's outside.	people outside atv's three.
A man on a four wheeler is flying through the air.	man through wheeler flying air four.
A man on a four-wheeler jumps near a small building.	building small man four-wheeler jumps near.
A woman with dark hair wearing a bikini is sitting on a beach.	bikini woman wearing sitting hair dark beach.
Two hands are flipping some food in a cast iron pan, with a spatula.	food pan, spatula two some iron flipping hands cast.
Two women hugging in a grassy, fenced field with a cow's behind in the background.	women behind background two grassy, hugging cow's fenced field.
A large ship approaching the dock with two men awaiting its arrival.	two arrival awaiting its men approaching dock large ship.
A man in sandals and white cardigan sits on a green bench while talking on his cellphone.	while green man sandals white sits bench cardigan his talking cellphone.
A man on stage singing into a microphone.	singing into microphone man stage.
Three guys riding on an elephant with a house-like structures and trees in the background.	elephant three guys structures background house-like riding trees.
A mexican man sits under the hood of his truck.	truck man mexican hood his under sits.
A boy in yellow glasses and red-haired girl pose for the camera.	glasses yellow boy girl pose red-haired camera.
A group of people gather and holding different types of flags.	types gather holding flags group people different.
A white baby boy crying over a tipped over toy.	tipped white over toy over baby crying boy.
Small boy carries a soccer ball on a field.	carries field ball soccer small boy.
A woman is watching as a guy is scooping ice cream from a freezer.	from freezer guy woman watching cream ice as scooping.
A group of people are sitting on stools eating some food	eating sitting some group stools people food.
People are standing around an American flag that is spread out, facing the wrong direction.	flag standing american spread people out, wrong facing that around direction.
A young girl painting a picture.	painting picture girl young.
A cyclist is riding a bicycle on a curved road up a hill.	road up riding cyclist curved bicycle hill.
A little girl in a denim jacket running through a field.	girl little field jacket through running denim.
Man in blue shirt and black pants is looking at his thumb on one hand while holding glasses in his other hand.	other hand man hand one his black looking glasses shirt thumb his holding pants while blue.
A couple kissing while going up the escalator.	going kissing escalator while couple up.
A soccer player in a green uniform with a ball in is hands is being held up by some of his teammates, while an opposing player in red reaches for the ball.	teammates, player opposing while soccer green some held uniform up ball player being by hands red ball his reaches.
Men are constructing a wall in the desert.	wall desert men constructing.
A young group of friends adorned with face paint and feathered headbands sit on a bench.	friends face bench sit feathered group paint headbands young adorned.
The lady has a black sling bag.	has black lady bag sling.
A man in a black jacket is standing with a group of people behind him.	standing group behind people man black him jacket.
A black dog jumping to catch a rope toy	jumping black rope dog catch toy to.
A young girl is looking through an old fashioned video camera.	looking young camera video fashioned girl old through.
Girl in odd clothes reading a brochure while sitting on a wooden porch.	porch odd brochure clothes wooden sitting reading while girl.
A man dressed in a funky outfit is playing guitar.	dressed man funky outfit playing guitar.
A hockey goalie is trying to prevent a goal from the opposing team.	hockey goalie team prevent from goal trying opposing to.
An adult and a child walk along the beach during the day.	beach child during adult along walk day.
A man in an apron sits on a curb.	man sits curb apron.
A brown and white dog jumping up to catch a Frisbee while an audience watches.	white while up watches jumping audience catch frisbee brown dog to.
Two tennis players are talking on the tennis courts.	tennis courts two talking tennis players.
Two jugglers using flaming torches are performing for a crowd of people who are sitting on steps.	crowd sitting torches using who jugglers people steps flaming performing two.
Two children running with no shoes on.	two on children no running shoes.
A baby is sitting on and playing with smooth rocks.	smooth rocks baby playing sitting.
A boy in a Gap hat is making a silly face.	gap making face boy hat silly.
Five men, one wearing a white shirt standing on something, hanging up a picture of a child.	five hanging one standing men, wearing shirt child up white picture something,.
A person in a hat is playing with a boy on a beach.	person hat playing boy beach.
A girl in a green Speedo top and blue goggles holds her breath underwater.	goggles underwater girl speedo holds her breath blue top green.
Boys on a motor-scooter riding down a busy urban street.	down busy urban riding boys motor-scooter street.
Two ladies and a man playing a card game and drinking beer.	playing card beer drinking game man ladies two.
People enjoy a gathering with Pabst Blue Ribbon and Diet Coke.	blue gathering enjoy ribbon people pabst diet coke.
Man with red shoes, white shirt and gray pants climbing.	gray man climbing shoes, pants red shirt white.
A rock climber climbs a large rock.	climbs large climber rock rock.
A little girl playing in water on a frog sculpture.	frog playing little girl water sculpture.
A dog is running on the beach.	running dog beach.
People sitting in a restaurant eating and one is reading the paper.	one restaurant people paper reading eating sitting.
A girl wearing a red short and a white shirt looking through a hole.	looking hole girl through red short shirt white wearing.
Black and white bird standing on hand of someone holding sunflower seeds	white holding standing sunflower bird someone black seeds hand.
A woman in a white shirt and pink skirt is about to hit a tennis ball.	hit to skirt ball white tennis shirt about woman pink.
A dog is standing in the sand.	sand standing dog.
This is a man standing on a rooftop with construction in the background.	construction this standing rooftop man background.
A man looks through a large camera-like device in a field near a camper and some parked vehicles.	vehicles large camper some device camera-like through man looks near field parked.
A little boy stands in the surf.	boy stands surf little.
A woman in Muslim attire is walking with a young boy down the street.	attire down boy walking woman muslim street young.
The small dog is running across the lawn.	across lawn small dog running.
A woman is jogging on a sidewalk next to an elevated grassy platform.	platform elevated to jogging grassy sidewalk woman next.
A man in red pants jumping on a park table.	man jumping pants park table red.
A dog with its mouth open running through a field torwards the camera.	open torwards dog camera through mouth field running its.
Smiling little girl swimming in outdoor pool.	little smiling girl pool swimming outdoor.
A bike sitting in a street with a rope tied to it and a guy walking on the rope.	sitting street to guy bike rope rope it walking tied.
A man and child on a ship doing maintenance.	ship man doing child maintenance.
A small child doing a handstand on a bed.	doing small handstand bed child.
Men wearing orange safety vest are working on street repairs.	street safety wearing repairs men working vest orange.
A man with a safety vest is kneeling down and cleaning the bricks.	bricks man safety kneeling down vest cleaning.
Workman are completing repairs on a city street.	workman completing street city repairs.
Man is standing on white sand and holding a snowboard.	standing sand man holding white snowboard.
A man in an orange vest standing atop a building.	building standing man atop vest orange.
A guy in a yellow shirt and light brown slacks is playing golf while the crowd watch.	brown light guy shirt while golf playing slacks yellow crowd watch.
A young girl in a karate uniform holding a large trophy.	large karate holding uniform girl trophy young.
A kid with floaters jumping into a lake.	floaters kid jumping lake into.
A woman in pink cuts a hamburger with a spatula.	cuts hamburger woman pink spatula.
A boy in a dirty shirt is walking through knee-high ocean water.	water through walking knee-high ocean dirty shirt boy.
A man standing beside the back of a nude statue.	statue beside back standing man nude.
A little toddler dressed in white is smiling while a lady helps him wave a flag.	wave smiling toddler him white lady while helps flag dressed little.
A person stands on a structure on the lake.	lake person structure stands.
A young man in a gray jacket stands behind the counter of a jewelery store and smiles.	gray stands smiles store young counter man jacket behind jewelery.
People walking up and down the steps to a church.	church steps people walking to down up.
A number of children enjoy themselves on the coast of a city.	number enjoy themselves coast children city.
A female works out near the ocean side.	works ocean side female near out.
Two men are working on a carpentry project with hand tools.	men project carpentry hand working two tools.
A woman and two girls dressed in pink.	girls woman dressed two pink.
A man in a black suit and briefcase hurrying somewhere, while talking on his cellphone.	cellphone his black while hurrying somewhere, talking man suit briefcase.
A brunette woman walking down a street with a cup.	cup street walking woman brunette down.
A bald little boy holds a chicken while two men are sitting in the background.	bald chicken men background little two sitting while boy holds.
A man sitting on a wall and looking at a body of water.	body man water sitting wall looking.
Two dogs run through the water with a rope in their mouths.	rope two run their water dogs mouths through.
A boy strolls by a pond in a park.	pond boy strolls by park.
Blond child with large black coat, multicolored scarf, and knit hat standing in front of a window.	front multicolored child blond coat, scarf, knit black hat standing large window.
Brown dog with tennis ball in mouth, in water and bushes.	water mouth, dog tennis bushes brown ball.
Two brown dogs runs through the water.	water brown through two dogs runs.
A girl blowing bubbles in the swimming pool.	swimming blowing girl pool bubbles.
A pile of seaweed sits on the sand, behind it a big black dog is running in the water.	water sand, seaweed pile dog big it black sits running behind.
A young boy runs while wearing sandals.	runs while boy wearing young sandals.
A brown and white dog stands outside while it snows.	brown white snows stands outside while it dog.
Someone working on a project using a jigsaw cutting machine.	someone cutting machine working using project jigsaw.
A women's roller derby team taking a break.	taking team break derby roller women's.
A boy jumps from one bed to another.	one from jumps another boy to bed.
A man wearing a yellow shirt standing in the middle of two beds that a boy is jumping on in the background	middle jumping background boy man standing wearing beds shirt that two yellow.
A young man holding a huge chainsaw.	young man chainsaw huge holding.
A man on a motorcycle without a shirt and another man standing under shade.	man another man standing motorcycle under shade without shirt.
Three people enter a building with a handwritten sign that says "Welcome Bikers."	enter bikers" building people says sign handwritten three that "welcome.
A man is putting up a wall.	putting man up wall.
A brown-haired woman looks at a baby eating something.	brown-haired something looks eating baby woman.
A line of people, some standing and some sitting, are waiting on a platform for a train.	line people, waiting standing platform train sitting, some some.
